i,desktop,xorg-server,is the graphical server
i,desktop,xorg-xwininfo,allows querying information about windows
i,desktop,xorg-xinit,starts the graphical server
i,desktop,xorg-xprop,is a tool for detecting window properties
i,desktop,xorg-xdpyinfo,aids with resolution determination and screen recording
i,desktop,xorg-xbacklight,enables changing screen brightness levels
i,desktop,bspwm,is a tiling window manager
i,desktop,sxhkd,is keyboard shortcut program that goes together with bspwm
i,desktop,dmenu,is a menu app
i,desktop,polybar,is a status bar
i,battery,tlp,improves battery life
i,networkmanager,handles wifi connection automatically
i,bluetooth,bluez,no comment
i,bluetooth,bluez-libs,no comment
i,bluetooth,bluez-utils,no comment
i,audio,pulseaudio,no comment
i,audio,pulseaudio-alsa,no comment
i,audio,pulseaudio-bluetooth,no comment
i,desktop,xcompmgr,is for transparency
i,utils,stow,symlink manager
